import_country,export_country,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,common_language,both_in_EU,both_in_EFTA,distance
14,17,-4.817075926758247,-4.817075926758247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2744.0
14,18,-5.784931335910124,-5.784931335910124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4970.0
14,19,-5.059521726645428,-5.059521726645428,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0
14,20,-4.901230959113122,-4.901230959113122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2294.0
15,1,-4.625770307638524,-4.625770307638524,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16181.0
15,2,-2.860645457930276,-2.860645457930276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4425.0
15,3,-5.583691208530361,-5.583691208530361,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10785.0
15,4,-4.27020505878979,-4.27020505878979,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5772.0
15,5,-4.912201100667888,-4.912201100667888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4999.0
15,6,-6.907850867012605,-6.907850867012605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11719.0
15,7,-6.625277324031689,-6.625277324031689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11587.0
15,8,-6.458818132315961,-6.458818132315961,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10830.0
15,9,-5.52251108743368,-5.52251108743368,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15642.0
15,10,-6.378677137726217,-6.378677137726217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15806.0
15,11,-7.996352810471843,-7.996352810471843,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16859.0
15,12,-4.790564465530805,-4.790564465530805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5202.0
15,13,-4.640545658386347,-4.640545658386347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5278.0
15,14,-7.519587808406597,-7.519587808406597,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12194.0
